VOYAGEID,STATUS,ADLT1IMP,ADLT2IMP,ADLT3IMP,ADPSALE1,ADPSALE2,ADULT1,ADULT2,ADULT3,ADULT4,ADULT5,ADULT6,ADULT7,ARRPORT,ARRPORT2,BOY1,BOY2,BOY3,BOY4,BOY5,BOY6,BOY7,BOYRAT7,CAPTAINA,CAPTAINB,CAPTAINC,CHIL1IMP,CHIL2IMP,CHIL3IMP,CHILD1,CHILD2,CHILD3,CHILD4,CHILD5,CHILD6,CHILD7,CHILRAT7,CONSTREG,CREW,CREW1,CREW2,CREW3,CREW4,CREW5,CREWDIED,DATEDEPA,DATEDEPB,DATEDEPC,D1SLATRA,D1SLATRB,D1SLATRC,DLSLATRA,DLSLATRB,DLSLATRC,DDEPAM,DDEPAMB,DDEPAMC,DATARR32,DATARR33,DATARR34,DATARR36,DATARR37,DATARR38,DATARR39,DATARR40,DATARR41,DATARR43,DATARR44,DATARR45,DATEDEP,DATEBUY,DATELEFTAFR,DATELAND1,DATELAND2,DATELAND3,DATEDEPAM,DATEEND,DEPTREGIMP,DEPTREGIMP1,EMBPORT,EMBPORT2,EMBREG,EMBREG2,EVGREEN,FATE,FATE2,FATE3,FATE4,FEMALE1,FEMALE2,FEMALE3,FEMALE4,FEMALE5,FEMALE6,FEMALE7,FEML1IMP,FEML2IMP,FEML3IMP,GIRL1,GIRL2,GIRL3,GIRL4,GIRL5,GIRL6,GIRL7,GIRLRAT7,GUNS,INFANT1,INFANT2,INFANT3,INFANT4,INFANT5,INFANT6,JAMCASPR,MAJBUYPT,MAJBYIMP,MAJBYIMP1,MAJSELPT,MALE1,MALE1IMP,MALE2,MALE2IMP,MALE3,MALE3IMP,MALE4,MALE5,MALE6,MALE7,MALRAT7,MEN1,MEN2,MEN3,MEN4,MEN5,MEN6,MEN7,MENRAT7,MJBYPTIMP,MJSELIMP,MJSELIMP1,MJSLPTIMP,NATINIMP,NATIONAL,NCAR13,NCAR15,NCAR17,NDESERT,NPAFTTRA,NPPRETRA,NPPRIOR,OWNERA,OWNERB,OWNERC,OWNERD,OWNERE,OWNERF,OWNERG,OWNERH,OWNERI,OWNERJ,OWNERK,OWNERL,OWNERM,OWNERN,OWNERO,OWNERP,PLAC1TRA,PLAC2TRA,PLAC3TRA,PLACCONS,PLACREG,PORTDEP,PORTRET,PTDEPIMP,REGARR,REGARR2,REGDIS1,REGDIS2,REGDIS3,REGEM1,REGEM2,REGEM3,REGISREG,RESISTANCE,RETRNREG,RETRNREG1,RIG,SAILD1,SAILD2,SAILD3,SAILD4,SAILD5,SHIPNAME,SLA1PORT,SLAARRIV,SLADAFRI,SLADAMER,SLADVOY,SLAMIMP,SLAS32,SLAS36,SLAS39,SLAVEMA1,SLAVEMA3,SLAVEMA7,SLAVEMX1,SLAVEMX3,SLAVEMX7,SLAVMAX1,SLAVMAX3,SLAVMAX7,SLAXIMP,SLINTEN2,SLINTEND,SOURCEA,SOURCEB,SOURCEC,SOURCED,SOURCEE,SOURCEF,SOURCEG,SOURCEH,SOURCEI,SOURCEJ,SOURCEK,SOURCEL,SOURCEM,SOURCEN,SOURCEO,SOURCEP,SOURCEQ,SOURCER,TONMOD,TONNAGE,TONTYPE,TSLAVESD,TSLAVESP,TSLMTIMP,VOY1IMP,VOY2IMP,VOYAGE,VYMRTIMP,VYMRTRAT,WOMEN1,WOMEN2,WOMEN3,WOMEN4,WOMEN5,WOMEN6,WOMEN7,WOMRAT7,XMIMPFLAG,YEAR10,YEAR100,YEAR25,YEAR5,YEARAF,YEARAM,YEARDEP,YRCONS,YRREG,VOYAGEID2,INTRAAMER,BOYRAT1,CHILRAT1,GIRLRAT1,MALRAT1,MENRAT1,WOMRAT1,BOYRAT3,CHILRAT3,GIRLRAT3,MALRAT3,MENRAT3,WOMRAT3
82774,PUBLISHED,354.0,,354.0,,,,,,,,,354.0,,,16.0,,16.0,,,,16.0,0.04134,"Bibby, Robert","Bellis, John",,33.0,,33.0,,,,,,,33.0,0.08527,10400.0,,34.0,,,,,5.0,2.0,3.0,1792.0,23.0,5.0,1792.0,1.0,1.0,1793.0,,,,18.0,2.0,1793.0,,,,,,,19.0,4.0,1793.0,"03,02,1792","05,23,1792","1,1,1793","02,18,1793",",,",",,",",,","04,19,1793",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,127.0,127.0,,127.0,17.0,,17.0,,,,17.0,0.04393,,,,,,,,,60499.0,60400.0,60000.0,34399.0,,260.0,,,,260.0,,,,260.0,0.67183,244.0,,244.0,,,,244.0,0.63049,60499.0,34300.0,30000.0,34399.0,7.0,7.0,,,,,,1.0,,"Case, George","Aspinall, John Bridge","Aspinall, James","Gregson, William","Gregson, John","Gregson, James","Wilson, Edmund","Gregson, William (Jr)","Begg, William","Morland, Thomas",,,,,,,60410.0,60412.0,60408.0,10432.0,,10432.0,10432.0,10432.0,,,34300.0,,,60400.0,60400.0,60400.0,,,10400.0,10000.0,4.0,,,,,,Molly,34399.0,387.0,,,3.0,387.0,,,,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,390.0,,413.0,LR1793,"BT98/53,136","PP,1795-6(849),XLII","T64/286,29","HLRO,MP,HL,94.03.22","HLRO,MP,HL,undated(1794),no.66","HLRO,MP,HL,99.06.14","HLRO,MP,HL,1800.07.28","LList, 20 Mar 1792","LList, 19 Apr 1793",,,,,,,,,279.0,279.0,13.0,390.0,393.0,390.0,353.0,48.0,,3.0,0.01,110.0,,110.0,,,,110.0,0.28424,34.0,30,1700,12,59,1793,1793,1792,1778.0,,,0,0.04134,0.08527,0.04393,0.67183,0.630490956072351,0.28424,0.04134,0.08527,0.04393,0.67183,0.63049,0.28424
82836,PUBLISHED,166.0,,,,,,,,,,,166.0,,,8.0,,,,,,8.0,0.04444,"Williams, Samuel","Tyrer, Robert",,14.0,,,,,,,,,14.0,0.07778,10400.0,,20.0,,,,,1.0,18.0,1.0,1792.0,6.0,4.0,1792.0,2.0,1.0,1793.0,21.0,2.0,1793.0,11.0,2.0,1793.0,,,,,,,18.0,4.0,1793.0,"01,18,1792","04,06,1792","1,2,1793","02,11,1793",",,",",,","02,21,1793","04,18,1793",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,62.0,62.0,,,6.0,,,,,,6.0,0.03333,,,,,,,,,60302.0,60300.0,60000.0,34399.0,,118.0,,,,,,,,118.0,0.65556,110.0,,,,,,110.0,0.61111,60302.0,34300.0,30000.0,34399.0,7.0,7.0,,,,,,,,"Copland, John",,,,,,,,,,,,,,,,60212.0,60210.0,60302.0,10432.0,10432.0,10432.0,10432.0,10432.0,,,34300.0,,,60200.0,60200.0,60300.0,10400.0,,10400.0,10000.0,4.0,,,,,,Nancy,34399.0,164.0,,,,164.0,,,,180.0,,180.0,180.0,,180.0,180.0,,180.0,180.0,,330.0,LR1792,"BT98/53,122","PP,1795-6(849),XLII","T64/286,29","HLRO,MP,HL,94.03.22","HLRO,MP,HL,99.06.28,no.6","HLRO,MP,HL,99.06.17","HLRO,MP,HL,1800.07.28","craig,106","GLGA,1792.11.19.",,,,,,,,,198.0,198.0,13.0,180.0,190.0,180.0,390.0,40.0,,16.0,0.09,56.0,,,,,,56.0,0.31111,34.0,30,1700,12,59,1793,1793,1792,1786.0,1791.0,,0,0.04444,0.07778,0.03333,0.65556,0.611111111111111,0.31111,,,,,,
82857,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Kirkby, Thomas",,,,,,,,,,,,,,80700.0,,46.0,,,,,7.0,17.0,7.0,1798.0,,,,,,,26.0,7.0,1799.0,22.0,5.0,1799.0,,,,,,,19.0,9.0,1799.0,"07,17,1798",",,",,"05,22,1799",",,",",,","07,26,1799","09,19,1799",10400.0,10000.0,60799.0,,60700.0,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60702.0,60700.0,60000.0,37020.0,,,,,,,,,,,,,,,,,,,,60702.0,37000.0,30000.0,37020.0,7.0,7.0,,,,5.0,,,1.0,"Hinde, Thomas","Hinde, William","Kirkby, Thomas",,,,,,,,,,,,,,60702.0,,,80709.0,,10432.0,10432.0,10432.0,,,37000.0,,,60700.0,,,,,10400.0,10000.0,4.0,,,,,,Nancy,37020.0,400.0,,,,400.0,,,,,,,,,,,,,437.0,,515.0,LR1799,"BT98/59,398","PP,1806(265),XIII,no.1","PP,1801-2(88),IV,no.1",holsoe,"Williams,682","LList, 28 Dec 1798","LList, 2 July 1799","LList, 9 July 1799","MMM, C/EX/L/5/3,1798.087",,,,,,,,,381.0,381.0,13.0,,,,309.0,,,,,,,,,,,,,34.0,30,1700,12,60,1799,1799,1798,1774.0,,,0,,,,,,,,,,,,
82885,PUBLISHED,281.0,,260.0,,,,,,,,,260.0,,,19.0,,18.0,,,,18.0,0.0598,"Maxwell, George",,,44.0,,41.0,,,,,,,41.0,0.13621,80700.0,,30.0,,,,,5.0,20.0,2.0,1791.0,11.0,5.0,1791.0,18.0,6.0,1791.0,1.0,9.0,1791.0,6.0,8.0,1791.0,,,,,,,7.0,10.0,1791.0,"02,20,1791","05,11,1791","6,18,1791","08,06,1791",",,",",,","09,01,1791","10,07,1791",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,109.0,121.0,,109.0,25.0,,23.0,,,,23.0,0.07641,,,,,,,,,60799.0,60700.0,60000.0,34499.0,,204.0,,,,192.0,,,,192.0,0.63787,185.0,,174.0,,,,174.0,0.57807,60799.0,34400.0,30000.0,34499.0,7.0,7.0,,,,3.0,,,,"Leyland, Thomas","Molyneux, Thomas",,,,,,,,,,,,,,,60714.0,60717.0,,80704.0,10432.0,10432.0,10432.0,10432.0,,,34400.0,,,60700.0,60700.0,,10400.0,,10400.0,10000.0,4.0,,,,,,Ned,34499.0,301.0,,,24.0,301.0,,,,325.0,301.0,301.0,325.0,301.0,301.0,325.0,301.0,301.0,325.0,,343.0,LR1792,"BT98/51,352","PP,1792(768),XXXV","PP,1792(766-7),XXXV","PP,1795-6(849),XLII","T64/286,24","HLRO,MP,HL,94.03.22","HLRO,MP,HL,99.06.14","HLRO,MP,HL,99.06.25","HLRO,MP,HL,1800.07.28","LList , 27 Sept 1791",,,,,,,,209.0,209.0,13.0,325.0,325.0,325.0,167.0,49.0,,24.0,0.07,96.0,,86.0,,,,86.0,0.28571,34.0,30,1700,12,59,1791,1791,1791,,1790.0,,0,0.05846,0.13538,0.07692,0.62769,0.569230769230769,0.29538,0.0598,0.13621,0.07641,0.63787,0.57807,0.28571
82911,PUBLISHED,,,120.0,,,,,,,,,120.0,,,,,9.0,,,,9.0,0.06767,"Wyatt, William",,,,,13.0,,,,,,,13.0,0.09774,33500.0,,,,,,,,1.0,9.0,1791.0,,,,,,,,,,31.0,1.0,1792.0,,,,,,,4.0,7.0,1792.0,"09,01,1791",",,",,"01,31,1792",",,",",,",",,","07,04,1792",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,35.0,,,35.0,,,4.0,,,,4.0,0.03008,,,,,,,,,60108.0,60100.0,60000.0,33899.0,,,,,,98.0,,,,98.0,0.73684,,,89.0,,,,89.0,0.66917,60108.0,33800.0,30000.0,33899.0,7.0,7.0,,,,,,,,"Sharpless, Thomas","Heatley, Robert",,,,,,,,,,,,,,,60108.0,,,33599.0,10433.0,10433.0,10433.0,10433.0,,,33800.0,,,60100.0,,,10400.0,,10400.0,10000.0,9.0,,,,,,Neptune,33899.0,133.0,,,,133.0,,,,,133.0,133.0,,133.0,133.0,,133.0,133.0,140.0,,185.0,LR1792,CO76/6,"PP,1792(768),XXXV","PP,1795-6(849),XLII","T64/286,11","HLRO,MP,HL,94.03.22","HLRO,MP,HL,99.06.14","HLRO,MP,HL,99.06.25","LList, 2 Sept 1791","LList, 9 Dec 1791","LList, 20 Mar 1792","LList, 6 July 1792",,,,,,,111.0,111.0,13.0,,140.0,,152.0,,,,,,,31.0,,,,31.0,0.23308,102.0,30,1700,12,59,1792,1792,1791,1781.0,1791.0,,0,,,,,,,0.06767,0.09774,0.03008,0.73684,0.66917,0.23308
82968,PUBLISHED,,,,31312.0,,,,,,,,,,,,,,,,,,,"Irving, Andrew","Williams, John K",,,,,,,,,,,,,10400.0,,16.0,,,,,2.0,27.0,11.0,1790.0,7.0,2.0,1791.0,28.0,5.0,1791.0,24.0,10.0,1791.0,29.0,7.0,1791.0,21.0,9.0,1791.0,,,,8.0,12.0,1791.0,"11,27,1790","02,07,1791","5,28,1791","07,29,1791","09,21,1791",",,","10,24,1791","12,08,1791",10400.0,10000.0,,,,,True,1,1,14,1,,,95.0,,,,95.0,,,95.0,,,,,,,,,,,,,,,,,60599.0,60500.0,60000.0,31312.0,,,,,133.0,133.0,,,,133.0,0.58333,,,,,,,,,60599.0,31300.0,30000.0,31312.0,7.0,7.0,,,,,,1.0,,"Dawson, John",,,,,,,,,,,,,,,,60599.0,60517.0,,10432.0,,10432.0,10432.0,10432.0,,,41200.0,31300.0,,60500.0,60500.0,,,,10400.0,10000.0,4.0,,,,,,Orange Grove,41207.0,230.0,,,,230.0,,,,,,,,228.0,228.0,,,,251.0,,233.0,LR1791,"BT98/52,25","T70/1564,pt1","PP,1792(768),XXXV","T64/286,24","HLRO,MP,HL,94.03.22","HLRO,MP,HL,99.06.28,no.11","HLRO,MP,HL,1800.07.28","Klein,Havana dataset","LList, 9 Sept 1791","LList, 13 Dec 1791",,,,,,,,140.0,140.0,13.0,,,,244.0,62.0,,,,,,,,,,,,34.0,30,1700,12,59,1791,1791,1790,1790.0,,,0,,,,,,,,,,0.58333,,
83030,PUBLISHED,,1.0,160.0,,,,,,,,,160.0,,,,2.0,20.0,,,,20.0,0.10101,"Smith, John",,,,2.0,38.0,,,,,,,38.0,0.19192,10400.0,,24.0,,,,,6.0,1.0,10.0,1791.0,5.0,12.0,1791.0,19.0,7.0,1792.0,4.0,9.0,1792.0,24.0,8.0,1792.0,,,,,,,16.0,10.0,1792.0,"10,01,1791","12,05,1791","7,19,1792","08,24,1792",",,",",,","09,04,1792","10,16,1792",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,76.0,,,76.0,,,18.0,,,,18.0,0.09091,,,,,,,,,60299.0,60200.0,60000.0,34399.0,,,,,,122.0,,,,122.0,0.61616,,,102.0,,,,102.0,0.51515,60220.0,34300.0,30000.0,34399.0,7.0,7.0,,,,,,1.0,,"Ward, Richard","Denny, Plato","Pickop, Thomas","Smith, John",,,,,,,,,,,,,60306.0,60202.0,60299.0,10416.0,,10432.0,10432.0,10432.0,,,34300.0,,,60300.0,60200.0,60200.0,,,10400.0,10000.0,9.0,,,,,,Peggy,34399.0,198.0,,,7.0,198.0,,,,,198.0,198.0,,198.0,198.0,,198.0,198.0,205.0,,258.0,LR1792,"BT98/52,410","PP,1792(768),XXXV","PP,1795-6(849),XLII","T64/286,28","HLRO,MP,HL,94.03.22","HLRO,MP,HL,99.06.14","HLRO,MP,HL,99.06.28,no.11","HLRO,MP,HL,99.07.01","HLRO,MP,HL,99.06.25","HLRO,MP,HL,1800.07.28","LList, 19 Oct 1792",,,,,,,155.0,155.0,13.0,,212.0,205.0,328.0,36.0,,7.0,0.03,,1.0,58.0,,,,58.0,0.29293,105.0,30,1700,12,59,1792,1792,1791,1783.0,,,0,,,,,,,0.10101,0.19192,0.09091,0.61616,0.51515,0.29293
83059,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Walker, Charles",,,,,,,,,,,,,,35500.0,,52.0,,,,,12.0,1.0,1.0,1806.0,,,,,,,29.0,1.0,1807.0,29.0,9.0,1806.0,,,,,,,5.0,4.0,1807.0,"01,01,1806",",,",,"09,29,1806",",,",",,","01,29,1807","04,05,1807",10400.0,10000.0,60499.0,,60400.0,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60399.0,60300.0,60000.0,35107.0,,,,,,,,,,,,,,,,,,,,60399.0,35100.0,30000.0,35107.0,7.0,7.0,,,,5.0,,2.0,,"Dickson, William",,,,,,,,,,,,,,,,60408.0,60422.0,,35508.0,10432.0,10432.0,10432.0,10432.0,,,35100.0,,,60400.0,60400.0,,10400.0,,10400.0,10000.0,4.0,,,,,,Perseus,35107.0,272.0,,,,272.0,,,,,,,,,,,,,303.0,,266.0,LR1806,"BT98/67,144",ADM7/375,T70/1583,CO142/24,"PP,1806(265),XIII,no.7","LList, 14 Jan 1806","LList, 16 May 1806","LList, 28 Nov 1806","LList, 28 Nov 1806","MMM, C/EX/L/5/6,1805.165",,,,,,,,243.0,243.0,13.0,,,,271.0,,,,,,,,,,,,,35.0,31,1800,13,62,1806,1806,1806,1801.0,1805.0,,0,,,,,,,,,,,,
83231,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Brinton, William",Laughton,,,,,,,,,,,,,20600.0,,,,,,,,7.0,7.0,1807.0,,,,,,,,,,19.0,2.0,1808.0,,,,,,,16.0,6.0,1808.0,"07,07,1807",",,",,"02,19,1808",",,",",,",",,","06,16,1808",10400.0,10000.0,60799.0,,60700.0,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60702.0,60700.0,60000.0,32250.0,,,,,,,,,,,,,,,,,,,,60702.0,32200.0,30000.0,32250.0,7.0,7.0,,,,,,,,"Begg, William","Mill, John",,,,,,,,,,,,,,,60702.0,,,20699.0,,10432.0,10432.0,10432.0,,,32200.0,,,60700.0,,,,,10400.0,10000.0,2.0,,,,,,Princess Royal,32250.0,,,,,160.0,,,,,,,,,,,,,183.0,,173.0,LR1807,"LiverpoolDirectory,97-100","LList, 8 Jan 1808","LList, 15 Apr 1808","LList, 21 June 1808","MMM, C/EX/L/5/6,1806.078",,,,,,,,,,,,,135.0,135.0,13.0,,,,227.0,,,,,,,,,,,,,24.0,31,1800,13,62,1808,1808,1807,1799.0,,,0,,,,,,,,,,,,
83233,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Catterall, Robert",,,,,,,,,,,,,,10400.0,,39.0,,,,,4.0,8.0,3.0,1791.0,6.0,6.0,1791.0,21.0,10.0,1791.0,27.0,1.0,1792.0,30.0,12.0,1791.0,,,,,,,19.0,3.0,1792.0,"03,08,1791","06,06,1791","10,21,1791","12,30,1791",",,",",,","01,27,1792","03,19,1792",10400.0,10000.0,,,,,True,1,1,14,1,,,108.0,,,,108.0,,,108.0,,,,,,,,,,,,,,,,,60699.0,60600.0,60000.0,31312.0,,,,,336.0,336.0,,,,336.0,0.75676,,,,,,,,,60699.0,31300.0,30000.0,31312.0,7.0,7.0,,,,,,,1.0,"Dawson, John",,,,,,,,,,,,,,,,60602.0,60605.0,,10432.0,,10432.0,10432.0,10432.0,,,31300.0,,,60600.0,60600.0,,,,10400.0,10000.0,4.0,,,,,,Princess Royal,31312.0,444.0,,,,444.0,,,,,,,,444.0,444.0,,,,485.0,,539.0,LR1792,"BT98/52,120","PP,1792(768),XXXV","T64/286,25","HLRO,MP,HL,94.03.22","HLRO,MP,HL,1800.07.28","Klein,Havana dataset","LList, 3 Feb 1792","LList, 23 Mar 1792",,,,,,,,,,405.0,405.0,13.0,,,,297.0,70.0,,,,,,,,,,,,34.0,30,1700,12,59,1791,1791,1791,1790.0,,,0,,,,,,,,,,0.75676,,
83347,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Mullion, Thomas","Green, William",,,,,,,,,,,,,50500.0,,45.0,,,,,6.0,2.0,8.0,1805.0,,,,,,,10.0,6.0,1806.0,30.0,4.0,1806.0,,,,,,,1.0,8.0,1806.0,"08,02,1805",",,",,"04,30,1806",",,",",,","06,10,1806","08,01,1806",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60903.0,60900.0,60000.0,21302.0,,,,,,,,,,,,,,,,,,,,60903.0,21300.0,20000.0,21302.0,7.0,7.0,,,,13.0,,1.0,,"Mullion, Hamlet",,,,,,,,,,,,,,,,60903.0,,,80200.0,,10432.0,10432.0,10432.0,,,21300.0,,,60900.0,,,,,10400.0,10000.0,4.0,,,,,,Robert,21302.0,241.0,,,,241.0,,,,,,,,,,,,,268.0,,280.0,LR1806,"BT98/66,419","PP,1806(265),XIII,no.1","Donnan,IV,514","LList, 10 June 1806",McMillin,"MMM, C/EX/L/5/6,1805.088",,,,,,,,,,,,251.0,251.0,13.0,,,,271.0,43.0,43.0,,,,,,,,,,,35.0,31,1800,13,62,1806,1806,1805,1797.0,,,0,,,,,,,,,,,,
83374,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,Neale,Phillips,Toole,,,,,,,,,,,,10400.0,,,,,,,,30.0,4.0,1800.0,,,,,,,,,,3.0,12.0,1800.0,,,,,,,14.0,4.0,1801.0,"04,30,1800",",,",,"12,03,1800",",,",",,",",,","04,14,1801",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60499.0,60400.0,60000.0,35304.0,,,,,,,,,,,,,,,,,,,,60499.0,35300.0,30000.0,35304.0,7.0,7.0,,,,,,2.0,,"Swanzy, James",,,,,,,,,,,,,,,,60412.0,60425.0,,10433.0,,10433.0,10433.0,10433.0,,,35300.0,,,60400.0,60400.0,,,,10400.0,10000.0,4.0,,,,,,Roebuck,35304.0,214.0,,,,214.0,,,,,,,,,,,,,234.0,,224.0,LR1802,T70/1578,"PP,1801-2(88),IV,no.2","LList, 2 May 1800","LList, 29 Aug 1800","LList, 20 Jan 1801","LList, 27 Feb 1801","LList, 17 Apr 1801",,,,,,,,,,,206.0,206.0,13.0,,,,217.0,,,,,,,,,,,,,34.0,30,1700,12,60,1800,1800,1800,1784.0,,,0,,,,,,,,,,,,
83487,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Milbanke, James","Fleming, Thomas",,,,,,,,,,,,,20100.0,,37.0,,,,,9.0,9.0,7.0,1788.0,,,,,,,,,,,2.0,1791.0,,,,,,,,,,"07,09,1788",",,",,"02,,1791",",,",",,",",,",",,",10400.0,10000.0,,,,,True,97,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,60603.0,60600.0,60000.0,34499.0,,,,,,,,,,,,,,,,,,,,60603.0,34400.0,30000.0,34499.0,7.0,7.0,,,,,,,1.0,"Hodgson, John","Capstick, Richard","Hodgson, Thomas (Jr)","Hartley, Samuel",,,,,,,,,,,,,60603.0,,,20199.0,10432.0,10432.0,,10432.0,,,34400.0,,,60600.0,,,10400.0,,,,4.0,,,,,,Sally,34499.0,40.0,,,128.0,40.0,,,,,,,,,,,,,168.0,,,LR1789,"BT98/51,271","PP,1789(631),XXIV","craig,128","Durnford,VI,656-59","LList, 8 Apr 1791",,,,,,,,,,,,,367.0,367.0,13.0,168.0,,168.0,,191.0,191.0,128.0,0.76,,,,,,,,,34.0,30,1700,12,59,1791,1791,1788,1770.0,1788.0,,0,,,,,,,,,,,,
83496,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Harold, Thomas","Calder, Robert",,,,,,,,,,,,,10100.0,,53.0,,,,,19.0,15.0,1.0,1800.0,,,,,,,,,,26.0,3.0,1801.0,,,,,,,18.0,8.0,1801.0,"01,15,1800",",,",,"03,26,1801",",,",",,",",,","08,18,1801",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60499.0,60400.0,60000.0,32240.0,,,,,,,,,,,,,,,,,,,,60499.0,32200.0,30000.0,32240.0,7.0,7.0,,,,20.0,,,1.0,"Begg, William","Shand, Charles","Buddicom, Robert","Thomas, Benjamin","Butler, Christopher","Harold, Thomas",,,,,,,,,,,60412.0,60425.0,,10199.0,,10432.0,10432.0,10432.0,,,32200.0,,,60400.0,60400.0,,,,10400.0,10000.0,4.0,,,,,,Sally and Rebecca,32240.0,305.0,,,,305.0,,,,,,,,,,,,,339.0,,360.0,LR1801,"BT98/61,270",T70/1577,"PP,1801-2(88),IV,no.2","LList, 12 Aug 1800","LList, 9 June 1801","LList, 21 Aug 1801","MMM, C/EX/L/5/4,1799.054",,,,,,,,,,,312.0,312.0,13.0,,,,435.0,,,,,,,,,,,,,35.0,31,1800,13,61,1801,1801,1800,,,,0,,,,,,,,,,,,
83511,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Lee, Thomas",,,,,,,,,,,,,,10400.0,,45.0,,,,,4.0,19.0,7.0,1797.0,13.0,9.0,1797.0,2.0,12.0,1797.0,4.0,4.0,1798.0,11.0,1.0,1798.0,,,,,,,31.0,5.0,1798.0,"07,19,1797","09,13,1797","12,2,1797","01,11,1798",",,",",,","04,04,1798","05,31,1798",10400.0,10000.0,60673.0,60605.0,60600.0,60600.0,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60699.0,60600.0,60000.0,35114.0,,,,,,,,,,,,,,,,,,,,60699.0,35100.0,30000.0,35114.0,7.0,7.0,,,,,,,,"Hodgson, Thomas","Hodgson, Ellis Leckonby","Byron, Henry","Byron, William","Atherton, James","Pickop, Thomas",,,,,,,,,,,60617.0,60622.0,60605.0,10430.0,10432.0,10432.0,10432.0,10432.0,,,35100.0,,,60600.0,60600.0,60600.0,10400.0,,10400.0,10000.0,4.0,,,,,,Sarah,35114.0,412.0,,,12.0,411.0,,,,,,,,,,,,,423.0,,431.0,LR1798,"BT98/58,244","CO140/89,389",CO142/23,T70/1574,"PP,1806(265),XIII,no.2","PP,1801-2(88),IV,no.1","PP,1801-2(88),IV,no.2","HLRO,MP,HL,undated(1798),no.8","HLRO,MP,HL,99.07.01","HLRO,MP,HL,1800.07.28","LList, 23 Mar 1798","LList, 1 June 1798","MMM, C/EX/L/5/2,1790.009",,,,,297.0,297.0,13.0,423.0,,423.0,176.0,40.0,,12.0,0.03,,,,,,,,,34.0,30,1700,12,60,1797,1798,1797,1783.0,1790.0,,0,,,,,,,,,,,,
83540,PUBLISHED,,,50.0,,,,,,,,,50.0,,,,,11.0,,,,11.0,0.15942,"Bedson, Thomas",,,,,19.0,,,,,,,19.0,0.27536,21700.0,,12.0,,,,,8.0,25.0,10.0,1791.0,27.0,12.0,1791.0,15.0,6.0,1792.0,5.0,9.0,1792.0,8.0,8.0,1792.0,,,,,,,25.0,10.0,1792.0,"10,25,1791","12,27,1791","6,15,1792","08,08,1792",",,",",,","09,05,1792","10,25,1792",10400.0,10000.0,,,,,True,1,1,14,1,,,,,,,27.0,,,27.0,,,8.0,,,,8.0,0.11594,,,,,,,,,60799.0,60700.0,60000.0,34499.0,,,,,,42.0,,,,42.0,0.6087,,,31.0,,,,31.0,0.44928,60799.0,34400.0,30000.0,34499.0,7.0,7.0,,,,2.0,,1.0,1.0,"Dover, James","Rodie, Thomas",,,,,,,,,,,,,,,60626.0,60620.0,60723.0,21705.0,,10432.0,10432.0,10432.0,,,34400.0,,,60600.0,60600.0,60700.0,,,10400.0,10000.0,1.0,,,,,,Seaflower,34499.0,69.0,,,8.0,69.0,,,,,69.0,69.0,,69.0,69.0,,69.0,69.0,77.0,,145.0,LR1792,"BT98/53,6","PP,1792(768),XXXV","PP,1795-6(849),XLII","T64/286,28","HLRO,MP,HL,94.03.22","HLRO,MP,HL,99.06.14","HLRO,MP,HL,99.06.28,no.70","HLRO,MP,HL,99.07.01","HLRO,MP,HL,99.06.25","HLRO,MP,HL,1800.07.28","LList, 14 Sept 1792","LList, 26 Oct 1792",,,,,,87.0,87.0,13.0,,83.0,77.0,288.0,54.0,,8.0,0.1,,,19.0,,,,19.0,0.27536,18.0,30,1700,12,59,1792,1792,1791,1783.0,,,0,,,,,,,0.15942,0.27536,0.11594,0.6087,0.44928,0.27536
